Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Is_Fraud,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email,anomaly_score,is_outlier_iso_forest
640e3ba9-5da4-438f-ac18-4bed43c2615e,Darsh Pandey,Female,39,Madhya Pradesh,Ujjain,Ujjain Branch,Business,a113906c-f517-4089-a775-5990cd1d91fc,25-01-2025,22:44:55,21362.22,a76bb941-3bb6-448e-9ca3-089dac77b548,Bill Payment,Entertainment,25237.97,Payment Gateway Device,"Ujjain, Madhya Pradesh",ATM,0,INR,+9191392XXXXXX,Online workshop,darshXXXXX@XXXXX.com,0.0022869968973132093,1
7ddb4a5f-ad4e-47cd-9d8b-3f274d86e9b9,Udant Chandra,Female,36,Manipur,Churachandpur,Churachandpur Branch,Checking,aa799df2-75c6-40a6-b90a-0e278df3e6a4,25-01-2025,23:27:53,25227.17,68240de0-2fa1-4032-a457-06a4ac12c696,Debit,Groceries,10731.34,Mobile Device,"Churachandpur, Manipur",Mobile,0,INR,+9193911XXXXXX,Customer service charge,udantXXX@XXXXX.com,-0.017830129557018126,-1
88966c79-95b6-46e1-bd5d-820a304ef814,Jatin Manne,Female,27,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman Branch,Checking,17cdb37d-ddd8-44df-b951-9f4ed10bdb2f,08-01-2025,11:19:10,49142.24,24bb1dab-7873-413e-9e0a-249b5c7c010c,Withdrawal,Electronics,96062.93,ATM,"Daman, Dadra and Nagar Haveli and Daman and Diu",Desktop,0,INR,+9199833XXXXXX,Hotel reservation,jatinXXX@XXXXXX.com,-0.02064409422283764,-1
07a6c5a8-5f48-4613-9dd2-69a6c45575dd,Varsha Dugal,Male,18,Punjab,Ludhiana,Ludhiana Branch,Savings,85c0b59b-f1f4-40cc-8ce5-9e18b3e362e4,30-01-2025,22:53:16,87592.44,0079e888-887d-49fb-bc27-85302e6a8949,Transfer,Entertainment,71416.68,Desktop/Laptop,"Ludhiana, Punjab",Desktop,0,INR,+9193635XXXXXX,Gifts for family,varshaXXXXX@XXXXXX.com,-0.07561437016918482,-1
41711590-5ebe-4cbd-a9fe-c47e0efffa10,Christopher Raj,Female,49,Goa,Vasco da Gama,Vasco da Gama Branch,Checking,3fd278d6-240e-4a7c-b9b3-c101e370dfba,23-01-2025,23:21:29,7996.19,8c5b43fe-2293-4885-802e-623d6009d9d1,Debit,Entertainment,37222.97,Web Browser,"Vasco da Gama, Goa",Desktop,0,INR,+9193317XXXXXX,Withdrawal,christopherXXXXX@XXXXXX.com,-0.012644067566287887,-1
0f548263-57d4-4521-9cae-6d3bbe6400b2,Indira Munshi,Male,32,Manipur,Thoubal,Thoubal Branch,Business,ba255461-a4de-4370-86ac-2e6ea4370bee,13-01-2025,21:00:31,96837.34,87802bb9-9b17-4dc5-a68a-8b15c7cac4f4,Debit,Restaurant,70779.3,POS Mobile App,"Thoubal, Manipur",Mobile,0,INR,+9194543XXXXXX,Vacation payment,indiraXXX@XXXXX.com,-0.013494074227355046,-1
7313d12a-ed2f-4c60-8a9d-901f6b0fccda,Amaira Ben,Male,52,Maharashtra,Aurangabad,Aurangabad Branch,Checking,58486f48-953c-4a80-a56d-e2767fddd08e,10-01-2025,23:20:33,59217.83,87a6de38-6240-4ca5-bcaa-f9f19f758459,Transfer,Groceries,24295.12,Mobile Device,"Aurangabad, Maharashtra",Desktop,0,INR,+9195953XXXXXX,Gifts for parents,amairaXXX@XXXXX.com,0.005650363244110113,1
ac3370d2-ebe2-4104-a383-59b88c36e2cf,Reva Kala,Female,54,Kerala,Kozhikode,Kozhikode Branch,Business,cea7851a-4fa8-4222-b416-646d776619c9,13-01-2025,21:45:50,57503.8,71faf20b-4862-47e1-8020-5e72ae622f7b,Debit,Entertainment,40461.08,Debit/Credit Card,"Kozhikode, Kerala",ATM,0,INR,+9197082XXXXXX,New year shopping,revaXXXXX@XXXXX.com,0.03433838144561413,1
78155624-f5be-4e91-8128-d33355f6aa83,Vaishnavi Raghavan,Male,35,Goa,Panaji,Panaji Branch,Business,fb524744-1b4f-4206-b8f7-5e2a1c9d3d64,17-01-2025,16:28:58,46559.21,291a6d0c-5315-4601-83fc-efef7d0f94e0,Transfer,Entertainment,33075.27,POS Terminal,"Panaji, Goa",POS,0,INR,+9197846XXXXXX,Clinic payment,vaishnaviXXX@XXXXXX.com,0.02552545638034165,1
3b94d706-ed43-4d4e-9ae5-904414fc0c4f,Jagat Pant,Male,67,Meghalaya,Shillong,Shillong Branch,Checking,102ab941-e5f2-4ea3-88d3-b4969e22acdc,23-01-2025,16:01:11,97710.95,f00a9cda-b3b0-4cf3-99cb-5d761c88ae43,Bill Payment,Clothing,24095.4,Web Browser,"Shillong, Meghalaya",POS,0,INR,+9195386XXXXXX,Stock investment,jagatXXX@XXXXXX.com,-0.07686229765238006,-1
